# atom  abund  abund_unc  total_abund  total_abund_unc
C    283    99      391    98
O    226    101     545    100
Mg   34.5   4.8     34.5   4.8
Si   34.4   3.9     34.4   3.9
Fe   28.1   5.4     28.1   5.4
# abundances from Zubko (2004)
#
# Units are # atoms per 10^6 H atoms
#
#
