#INSTRU  FILTER    WAVE     SPEC         ERROR        UNIT  
FIRAS   SPECTRUM  386.878  0.348730     0.0246057    MJy/sr  
FIRAS   SPECTRUM  380.208  0.340739     0.00306429   MJy/sr  
FIRAS   SPECTRUM  373.764  0.371327     0.0326809    MJy/sr  
FIRAS   SPECTRUM  367.535  0.380419     0.0180157    MJy/sr  
FIRAS   SPECTRUM  361.509  0.430559     0.0303901    MJy/sr  
FIRAS   SPECTRUM  355.679  0.414998     0.0328773    MJy/sr  
FIRAS   SPECTRUM  350.033  0.410088     0.0234581    MJy/sr  
FIRAS   SPECTRUM  344.564  0.467354     0.0536489    MJy/sr  
FIRAS   SPECTRUM  339.263  0.453732     0.0608154    MJy/sr  
FIRAS   SPECTRUM  334.122  0.457815     0.0170681    MJy/sr  
FIRAS   SPECTRUM  329.135  0.475200     0.0593951    MJy/sr  
FIRAS   SPECTRUM  324.295  0.502747     0.0775412    MJy/sr  
FIRAS   SPECTRUM  319.595  0.572233     0.0473448    MJy/sr  
FIRAS   SPECTRUM  315.030  0.544752     0.0715500    MJy/sr  
FIRAS   SPECTRUM  310.593  0.520519     0.0284147    MJy/sr  
FIRAS   SPECTRUM  306.279  0.570242     0.0418026    MJy/sr  
FIRAS   SPECTRUM  302.083  0.602470     0.0658341    MJy/sr  
FIRAS   SPECTRUM  298.001  0.618404     0.0746346    MJy/sr  
FIRAS   SPECTRUM  294.028  0.604066     0.0677978    MJy/sr  
FIRAS   SPECTRUM  290.159  0.602084     0.0404192    MJy/sr  
FIRAS   SPECTRUM  286.391  0.628549     0.0381697    MJy/sr  
FIRAS   SPECTRUM  282.719  0.670374     0.0521913    MJy/sr  
FIRAS   SPECTRUM  279.140  0.670523     0.0512654    MJy/sr  
FIRAS   SPECTRUM  275.651  0.722840     0.0774154    MJy/sr  
FIRAS   SPECTRUM  272.248  0.714466     0.0963412    MJy/sr  
FIRAS   SPECTRUM  268.928  0.718655     0.0603044    MJy/sr  
FIRAS   SPECTRUM  265.688  0.737503     0.0578055    MJy/sr  
FIRAS   SPECTRUM  262.525  0.737494     0.0876797    MJy/sr  
FIRAS   SPECTRUM  259.436  0.778053     0.0564522    MJy/sr  
FIRAS   SPECTRUM  256.419  0.811029     0.0838577    MJy/sr  
FIRAS   SPECTRUM  253.472  0.791727     0.0730879    MJy/sr  
FIRAS   SPECTRUM  250.592  0.814453     0.0792593    MJy/sr  
FIRAS   SPECTRUM  247.776  0.836132     0.0829082    MJy/sr  
FIRAS   SPECTRUM  245.023  0.867560     0.0941434    MJy/sr  
FIRAS   SPECTRUM  242.330  0.889257     0.0812714    MJy/sr  
FIRAS   SPECTRUM  239.696  0.930251     0.0964786    MJy/sr  
FIRAS   SPECTRUM  237.119  0.943596     0.0944742    MJy/sr  
FIRAS   SPECTRUM  234.597  0.949820     0.0553077    MJy/sr  
FIRAS   SPECTRUM  232.127  0.912053     0.0655225    MJy/sr  
FIRAS   SPECTRUM  229.709  0.909191     0.0855187    MJy/sr  
FIRAS   SPECTRUM  227.341  0.967393     0.0930126    MJy/sr  
FIRAS   SPECTRUM  225.021  1.01087      0.0975698    MJy/sr  
FIRAS   SPECTRUM  222.748  0.966747     0.0749802    MJy/sr  
FIRAS   SPECTRUM  220.521  1.05745      0.0735297    MJy/sr  
FIRAS   SPECTRUM  218.337  1.03484      0.0971044    MJy/sr  
FIRAS   SPECTRUM  216.197  1.04828      0.0835725    MJy/sr  
FIRAS   SPECTRUM  214.098  1.05311      0.0826764    MJy/sr  
FIRAS   SPECTRUM  212.039  1.06933      0.0925676    MJy/sr  
FIRAS   SPECTRUM  210.020  1.06529      0.0895418    MJy/sr  
FIRAS   SPECTRUM  208.038  1.08024      0.0788148    MJy/sr  
FIRAS   SPECTRUM  206.094  1.08044      0.0759170    MJy/sr  
FIRAS   SPECTRUM  204.186  1.08453      0.0851511    MJy/sr  
FIRAS   SPECTRUM  202.313  1.08452      0.0710835    MJy/sr  
FIRAS   SPECTRUM  200.473  1.08527      0.0972115    MJy/sr  
FIRAS   SPECTRUM  198.667  1.08847      0.100011     MJy/sr  
FIRAS   SPECTRUM  196.894  1.14351      0.0860703    MJy/sr  
FIRAS   SPECTRUM  195.151  1.16996      0.0794027    MJy/sr  
FIRAS   SPECTRUM  193.439  1.17394      0.0777912    MJy/sr  
FIRAS   SPECTRUM  191.757  1.18539      0.101432     MJy/sr  
FIRAS   SPECTRUM  190.104  1.20605      0.0812225    MJy/sr  
DIRBE   DIRBE3    3.50000  0.0012086    0.000228273  MJy/sr  
DIRBE   DIRBE4    4.90000  0.0019219    0.000362600  MJy/sr  
DIRBE   DIRBE5    12.0000  0.0305131    0.00572800   MJy/sr  
DIRBE   DIRBE6    25.0000  0.0317019    0.00595000   MJy/sr  
DIRBE   DIRBE7    60.0000  0.1129381    0.00213576   MJy/sr  
DIRBE   DIRBE8    100.000  0.6604569    0.0633852    MJy/sr  
DIRBE   DIRBE9    140.000  1.1201349    0.0876703    MJy/sr  
DIRBE   DIRBE10   240.000  0.8566126    0.0712451    MJy/sr 
