#INSTRU  FILTER    WAVE     SPEC         ERROR        UNIT   
FIRAS   SPECTRUM  272.248  0.714466     0.0963412    MJy/sr  
FIRAS   SPECTRUM  268.928  0.718655     0.0603044    MJy/sr  
FIRAS   SPECTRUM  265.688  0.737503     0.0578055    MJy/sr  
FIRAS   SPECTRUM  262.525  0.737494     0.0876797    MJy/sr  
FIRAS   SPECTRUM  259.436  0.778053     0.0564522    MJy/sr  
FIRAS   SPECTRUM  256.419  0.811029     0.0838577    MJy/sr  
FIRAS   SPECTRUM  253.472  0.791727     0.0730879    MJy/sr  
FIRAS   SPECTRUM  250.592  0.814453     0.0792593    MJy/sr  
FIRAS   SPECTRUM  247.776  0.836132     0.0829082    MJy/sr  
FIRAS   SPECTRUM  245.023  0.867560     0.0941434    MJy/sr  
FIRAS   SPECTRUM  242.330  0.889257     0.0812714    MJy/sr  
FIRAS   SPECTRUM  239.696  0.930251     0.0964786    MJy/sr  
FIRAS   SPECTRUM  237.119  0.943596     0.0944742    MJy/sr  
FIRAS   SPECTRUM  234.597  0.949820     0.0553077    MJy/sr  
FIRAS   SPECTRUM  232.127  0.912053     0.0655225    MJy/sr  
FIRAS   SPECTRUM  229.709  0.909191     0.0855187    MJy/sr  
FIRAS   SPECTRUM  227.341  0.967393     0.0930126    MJy/sr  
FIRAS   SPECTRUM  225.021  1.01087      0.0975698    MJy/sr  
FIRAS   SPECTRUM  222.748  0.966747     0.0749802    MJy/sr  
FIRAS   SPECTRUM  220.521  1.05745      0.0735297    MJy/sr  
FIRAS   SPECTRUM  218.337  1.03484      0.0971044    MJy/sr  
FIRAS   SPECTRUM  216.197  1.04828      0.0835725    MJy/sr  
FIRAS   SPECTRUM  214.098  1.05311      0.0826764    MJy/sr  
FIRAS   SPECTRUM  212.039  1.06933      0.0925676    MJy/sr  
FIRAS   SPECTRUM  210.020  1.06529      0.0895418    MJy/sr  
FIRAS   SPECTRUM  208.038  1.08024      0.0788148    MJy/sr  
FIRAS   SPECTRUM  206.094  1.08044      0.0759170    MJy/sr  
FIRAS   SPECTRUM  204.186  1.08453      0.0851511    MJy/sr  
FIRAS   SPECTRUM  202.313  1.08452      0.0710835    MJy/sr  
FIRAS   SPECTRUM  200.473  1.08527      0.0972115    MJy/sr  
FIRAS   SPECTRUM  198.667  1.08847      0.100011     MJy/sr  
FIRAS   SPECTRUM  196.894  1.14351      0.0860703    MJy/sr  
FIRAS   SPECTRUM  195.151  1.16996      0.0794027    MJy/sr  
FIRAS   SPECTRUM  193.439  1.17394      0.0777912    MJy/sr  
FIRAS   SPECTRUM  191.757  1.18539      0.101432     MJy/sr  
FIRAS   SPECTRUM  190.104  1.20605      0.0812225    MJy/sr  
FIRAS   SPECTRUM  188.479  1.25434      0.123882     MJy/sr  
FIRAS   SPECTRUM  186.882  1.29605      0.150197     MJy/sr  
FIRAS   SPECTRUM  185.312  1.26798      0.151437     MJy/sr  
FIRAS   SPECTRUM  183.767  1.25827      0.125103     MJy/sr  
FIRAS   SPECTRUM  182.249  1.26603      0.167523     MJy/sr  
FIRAS   SPECTRUM  180.755  1.22111      0.142356     MJy/sr  
FIRAS   SPECTRUM  179.285  1.19305      0.0872830    MJy/sr  
FIRAS   SPECTRUM  177.839  1.16974      0.102179     MJy/sr  
FIRAS   SPECTRUM  176.417  1.19485      0.0997192    MJy/sr  
FIRAS   SPECTRUM  175.016  1.21879      0.0946868    MJy/sr  
FIRAS   SPECTRUM  173.638  1.21320      0.0959852    MJy/sr  
FIRAS   SPECTRUM  172.282  1.16979      0.0974549    MJy/sr  
FIRAS   SPECTRUM  170.946  1.14515      0.131216     MJy/sr  
FIRAS   SPECTRUM  169.631  1.20543      0.186300     MJy/sr  
FIRAS   SPECTRUM  168.336  1.23051      0.168266     MJy/sr  
FIRAS   SPECTRUM  167.061  1.24313      0.145566     MJy/sr  
FIRAS   SPECTRUM  165.805  1.21753      0.108884     MJy/sr  
FIRAS   SPECTRUM  164.568  1.19553      0.145037     MJy/sr  
FIRAS   SPECTRUM  163.349  1.22120      0.143610     MJy/sr  
FIRAS   SPECTRUM  162.148  1.26298      0.167196     MJy/sr  
FIRAS   SPECTRUM  160.964  1.26832      0.145597     MJy/sr  
FIRAS   SPECTRUM  159.798  1.24949      0.104396     MJy/sr  
FIRAS   SPECTRUM  158.648  1.24595      0.104984     MJy/sr  
FIRAS   SPECTRUM  157.515  1.18645      0.106393     MJy/sr  
FIRAS   SPECTRUM  156.398  1.14016      0.164597     MJy/sr  
FIRAS   SPECTRUM  155.296  1.10781      0.119953     MJy/sr  
FIRAS   SPECTRUM  154.210  1.23741      0.0765181    MJy/sr  
FIRAS   SPECTRUM  153.139  1.40876      0.127077     MJy/sr  
FIRAS   SPECTRUM  152.083  1.38891      0.170165     MJy/sr  
FIRAS   SPECTRUM  151.042  1.26932      0.179440     MJy/sr  
FIRAS   SPECTRUM  150.014  1.25543      0.144137     MJy/sr  
FIRAS   SPECTRUM  149.001  1.38972      0.161922     MJy/sr  
FIRAS   SPECTRUM  148.001  1.46724      0.287442     MJy/sr  
FIRAS   SPECTRUM  147.014  1.35882      0.269755     MJy/sr  
FIRAS   SPECTRUM  146.040  1.32978      0.276241     MJy/sr  
FIRAS   SPECTRUM  145.079  1.45553      0.292599     MJy/sr  
FIRAS   SPECTRUM  144.131  1.42789      0.373200     MJy/sr  
FIRAS   SPECTRUM  143.195  1.38702      0.381854     MJy/sr  
FIRAS   SPECTRUM  142.271  1.15775      0.200186     MJy/sr  
FIRAS   SPECTRUM  141.359  1.13804      0.103637     MJy/sr  
FIRAS   SPECTRUM  140.459  1.02568      0.193610     MJy/sr  
FIRAS   SPECTRUM  139.570  0.887925     0.266347     MJy/sr  
FIRAS   SPECTRUM  138.692  0.974299     0.221481     MJy/sr  
FIRAS   SPECTRUM  137.825  0.979574     0.188693     MJy/sr  
FIRAS   SPECTRUM  136.969  1.08117      0.260401     MJy/sr  
FIRAS   SPECTRUM  136.124  1.11405      0.200885     MJy/sr  
FIRAS   SPECTRUM  135.289  1.08324      0.111937     MJy/sr  
FIRAS   SPECTRUM  134.464  1.31813      0.118983     MJy/sr  
FIRAS   SPECTRUM  133.649  1.32682      0.0456482    MJy/sr  
FIRAS   SPECTRUM  132.844  1.29657      0.0624511    MJy/sr  
FIRAS   SPECTRUM  132.048  1.29955      0.130195     MJy/sr  
FIRAS   SPECTRUM  131.262  1.12614      0.212828     MJy/sr  
FIRAS   SPECTRUM  130.486  1.10495      0.411336     MJy/sr  
FIRAS   SPECTRUM  129.718  0.999657     0.376003     MJy/sr  
FIRAS   SPECTRUM  128.959  0.890061     0.157529     MJy/sr  
FIRAS   SPECTRUM  128.210  0.966572     0.368282     MJy/sr  
FIRAS   SPECTRUM  127.469  0.940774     0.620879     MJy/sr  
FIRAS   SPECTRUM  126.736  1.09370      0.874983     MJy/sr  
DIRBE   DIRBE7    60.0000  0.0989657    0.00213576   MJy/sr  
DIRBE   DIRBE8    100.000  0.554668     0.0633852    MJy/sr  
DIRBE   DIRBE9    140.000  1.05070      0.0876703    MJy/sr  
DIRBE   DIRBE10   240.000  0.825213     0.0712451    MJy/sr  
ISO     SPECTRUM  5.07900  0.000918936  0.00000      MJy/sr  
ISO     SPECTRUM  5.14100  0.000813131  0.00000      MJy/sr  
ISO     SPECTRUM  5.20200  0.00206044   0.00000      MJy/sr  
ISO     SPECTRUM  5.26400  0.00347617   0.00000      MJy/sr  
ISO     SPECTRUM  5.32500  0.00276142   0.00000      MJy/sr  
ISO     SPECTRUM  5.38500  0.00178138   0.00000      MJy/sr  
ISO     SPECTRUM  5.44600  0.00170978   0.00000      MJy/sr  
ISO     SPECTRUM  5.50700  0.00128600   0.00000      MJy/sr  
ISO     SPECTRUM  5.56700  0.00329712   0.00000      MJy/sr  
ISO     SPECTRUM  5.62700  0.00378444   0.00000      MJy/sr  
ISO     SPECTRUM  5.68700  0.00579481   0.00000      MJy/sr  
ISO     SPECTRUM  5.74700  0.00484392   0.00000      MJy/sr  
ISO     SPECTRUM  5.80700  0.00518749   0.00000      MJy/sr  
ISO     SPECTRUM  5.86700  0.00560510   0.00000      MJy/sr  
ISO     SPECTRUM  5.92600  0.00555581   0.00000      MJy/sr  
ISO     SPECTRUM  5.98500  0.00720242   0.00000      MJy/sr  
ISO     SPECTRUM  6.04400  0.0111650    0.00000      MJy/sr  
ISO     SPECTRUM  6.10300  0.0183890    0.00000      MJy/sr  
ISO     SPECTRUM  6.16200  0.0312384    0.00000      MJy/sr  
ISO     SPECTRUM  6.22100  0.0407253    0.00000      MJy/sr  
ISO     SPECTRUM  6.27900  0.0414692    0.00000      MJy/sr  
ISO     SPECTRUM  6.33700  0.0339872    0.00000      MJy/sr  
ISO     SPECTRUM  6.39600  0.0269246    0.00000      MJy/sr  
ISO     SPECTRUM  6.45400  0.0197857    0.00000      MJy/sr  
ISO     SPECTRUM  6.51100  0.0151323    0.00000      MJy/sr  
ISO     SPECTRUM  6.56900  0.0136340    0.00000      MJy/sr  
ISO     SPECTRUM  6.62600  0.0138436    0.00000      MJy/sr  
ISO     SPECTRUM  6.68400  0.0135556    0.00000      MJy/sr  
ISO     SPECTRUM  6.74100  0.0141688    0.00000      MJy/sr  
ISO     SPECTRUM  6.79800  0.0142496    0.00000      MJy/sr  
ISO     SPECTRUM  6.85500  0.0152491    0.00000      MJy/sr  
ISO     SPECTRUM  6.91100  0.0177909    0.00000      MJy/sr  
ISO     SPECTRUM  6.96800  0.0205829    0.00000      MJy/sr  
ISO     SPECTRUM  7.02400  0.0222289    0.00000      MJy/sr  
ISO     SPECTRUM  7.08000  0.0210183    0.00000      MJy/sr  
ISO     SPECTRUM  7.13600  0.0187808    0.00000      MJy/sr  
ISO     SPECTRUM  7.19200  0.0204663    0.00000      MJy/sr  
ISO     SPECTRUM  7.24800  0.0217715    0.00000      MJy/sr  
ISO     SPECTRUM  7.30300  0.0268228    0.00000      MJy/sr  
ISO     SPECTRUM  7.35800  0.0336881    0.00000      MJy/sr  
ISO     SPECTRUM  7.41400  0.0407707    0.00000      MJy/sr  
ISO     SPECTRUM  7.46900  0.0496372    0.00000      MJy/sr  
ISO     SPECTRUM  7.52400  0.0594155    0.00000      MJy/sr  
ISO     SPECTRUM  7.57800  0.0695883    0.00000      MJy/sr  
ISO     SPECTRUM  7.63300  0.0727590    0.00000      MJy/sr  
ISO     SPECTRUM  7.68700  0.0738236    0.00000      MJy/sr  
ISO     SPECTRUM  7.74100  0.0712908    0.00000      MJy/sr  
ISO     SPECTRUM  7.79500  0.0683566    0.00000      MJy/sr  
ISO     SPECTRUM  7.84900  0.0644523    0.00000      MJy/sr  
ISO     SPECTRUM  7.90300  0.0600907    0.00000      MJy/sr  
ISO     SPECTRUM  7.95600  0.0522232    0.00000      MJy/sr  
ISO     SPECTRUM  8.01000  0.0457633    0.00000      MJy/sr  
ISO     SPECTRUM  8.06300  0.0409180    0.00000      MJy/sr  
ISO     SPECTRUM  8.11600  0.0375857    0.00000      MJy/sr  
ISO     SPECTRUM  8.16900  0.0343425    0.00000      MJy/sr  
ISO     SPECTRUM  8.22200  0.0329257    0.00000      MJy/sr  
ISO     SPECTRUM  8.27400  0.0321015    0.00000      MJy/sr  
ISO     SPECTRUM  8.32700  0.0334743    0.00000      MJy/sr  
ISO     SPECTRUM  8.37900  0.0348161    0.00000      MJy/sr  
ISO     SPECTRUM  8.43100  0.0370507    0.00000      MJy/sr  
ISO     SPECTRUM  8.48300  0.0402386    0.00000      MJy/sr  
ISO     SPECTRUM  8.53400  0.0420461    0.00000      MJy/sr  
ISO     SPECTRUM  8.58600  0.0438092    0.00000      MJy/sr  
ISO     SPECTRUM  8.63700  0.0410477    0.00000      MJy/sr  
ISO     SPECTRUM  8.68900  0.0370509    0.00000      MJy/sr  
ISO     SPECTRUM  8.74000  0.0316820    0.00000      MJy/sr  
ISO     SPECTRUM  8.79100  0.0259145    0.00000      MJy/sr  
ISO     SPECTRUM  8.84200  0.0214918    0.00000      MJy/sr  
ISO     SPECTRUM  8.89200  0.0176883    0.00000      MJy/sr  
ISO     SPECTRUM  8.94300  0.0151653    0.00000      MJy/sr  
ISO     SPECTRUM  8.99300  0.0132708    0.00000      MJy/sr  
ISO     SPECTRUM  9.04300  0.0138591    0.00000      MJy/sr  
ISO     SPECTRUM  9.09300  0.0110741    0.00000      MJy/sr  
ISO     SPECTRUM  9.14300  0.0105834    0.00000      MJy/sr  
ISO     SPECTRUM  9.19200  0.00863996   0.00000      MJy/sr  
ISO     SPECTRUM  9.24200  0.00856644   0.00000      MJy/sr  
ISO     SPECTRUM  9.29100  0.00879687   0.00000      MJy/sr  
ISO     SPECTRUM  9.33300  0.00910912   0.00000      MJy/sr  
ISO     SPECTRUM  9.44200  0.00914645   0.00000      MJy/sr  
ISO     SPECTRUM  9.55100  0.00969395   0.00000      MJy/sr  
ISO     SPECTRUM  9.66000  0.00949151   0.00000      MJy/sr  
ISO     SPECTRUM  9.76900  0.00891354   0.00000      MJy/sr  
ISO     SPECTRUM  9.87800  0.00829915   0.00000      MJy/sr  
ISO     SPECTRUM  9.98600  0.00745620   0.00000      MJy/sr  
ISO     SPECTRUM  10.0900  0.00676526   0.00000      MJy/sr  
ISO     SPECTRUM  10.2000  0.00735605   0.00000      MJy/sr  
ISO     SPECTRUM  10.3100  0.00597245   0.00000      MJy/sr  
ISO     SPECTRUM  10.4200  0.00855401   0.00000      MJy/sr  
ISO     SPECTRUM  10.5200  0.0102178    0.00000      MJy/sr  
ISO     SPECTRUM  10.6300  0.0129767    0.00000      MJy/sr  
ISO     SPECTRUM  10.7400  0.0139968    0.00000      MJy/sr  
ISO     SPECTRUM  10.8400  0.0146632    0.00000      MJy/sr  
ISO     SPECTRUM  10.9500  0.0211323    0.00000      MJy/sr  
ISO     SPECTRUM  11.0600  0.0338526    0.00000      MJy/sr  
ISO     SPECTRUM  11.1600  0.0629422    0.00000      MJy/sr  
ISO     SPECTRUM  11.2700  0.0820503    0.00000      MJy/sr  
ISO     SPECTRUM  11.3700  0.0800307    0.00000      MJy/sr  
ISO     SPECTRUM  11.4800  0.0595354    0.00000      MJy/sr  
ISO     SPECTRUM  11.5800  0.0414811    0.00000      MJy/sr  
ISO     SPECTRUM  11.6900  0.0344145    0.00000      MJy/sr  
ISO     SPECTRUM  11.7900  0.0312241    0.00000      MJy/sr  
ISO     SPECTRUM  11.8900  0.0321156    0.00000      MJy/sr  
ISO     SPECTRUM  12.0000  0.0333290    0.00000      MJy/sr  
ISO     SPECTRUM  12.1000  0.0330899    0.00000      MJy/sr  
ISO     SPECTRUM  12.2100  0.0330046    0.00000      MJy/sr  
ISO     SPECTRUM  12.3100  0.0347414    0.00000      MJy/sr  
ISO     SPECTRUM  12.4100  0.0386526    0.00000      MJy/sr  
ISO     SPECTRUM  12.5100  0.0418899    0.00000      MJy/sr  
ISO     SPECTRUM  12.6200  0.0502975    0.00000      MJy/sr  
ISO     SPECTRUM  12.7200  0.0585418    0.00000      MJy/sr  
ISO     SPECTRUM  12.8200  0.0596472    0.00000      MJy/sr  
ISO     SPECTRUM  12.9200  0.0520739    0.00000      MJy/sr  
ISO     SPECTRUM  13.0200  0.0356783    0.00000      MJy/sr  
ISO     SPECTRUM  13.1200  0.0264022    0.00000      MJy/sr  
ISO     SPECTRUM  13.2300  0.0244060    0.00000      MJy/sr  
ISO     SPECTRUM  13.3300  0.0228449    0.00000      MJy/sr  
ISO     SPECTRUM  13.4300  0.0239816    0.00000      MJy/sr  
ISO     SPECTRUM  13.5300  0.0241666    0.00000      MJy/sr  
ISO     SPECTRUM  13.6300  0.0231303    0.00000      MJy/sr  
ISO     SPECTRUM  13.7300  0.0212076    0.00000      MJy/sr  
ISO     SPECTRUM  13.8300  0.0193956    0.00000      MJy/sr  
ISO     SPECTRUM  13.9300  0.0192093    0.00000      MJy/sr  
ISO     SPECTRUM  14.0200  0.0200254    0.00000      MJy/sr  
ISO     SPECTRUM  14.1200  0.0193129    0.00000      MJy/sr  
ISO     SPECTRUM  14.2200  0.0202596    0.00000      MJy/sr  
ISO     SPECTRUM  14.3200  0.0197162    0.00000      MJy/sr  
ISO     SPECTRUM  14.4200  0.0184665    0.00000      MJy/sr  
ISO     SPECTRUM  14.5200  0.0165289    0.00000      MJy/sr  
ISO     SPECTRUM  14.6100  0.0155390    0.00000      MJy/sr  
ISO     SPECTRUM  14.7100  0.0155118    0.00000      MJy/sr  
ISO     SPECTRUM  14.8100  0.0144882    0.00000      MJy/sr  
ISO     SPECTRUM  14.9100  0.0150600    0.00000      MJy/sr  
ISO     SPECTRUM  15.0000  0.0148830    0.00000      MJy/sr  
ISO     SPECTRUM  15.1000  0.0128943    0.00000      MJy/sr  
ISO     SPECTRUM  15.1900  0.0145252    0.00000      MJy/sr  
ISO     SPECTRUM  15.2900  0.0142815    0.00000      MJy/sr  
ISO     SPECTRUM  15.3900  0.0152378    0.00000      MJy/sr  
ISO     SPECTRUM  15.4800  0.0163123    0.00000      MJy/sr  
ISO     SPECTRUM  15.5800  0.0165123    0.00000      MJy/sr  
ISO     SPECTRUM  15.6700  0.0166145    0.00000      MJy/sr  
ISO     SPECTRUM  15.7700  0.0157758    0.00000      MJy/sr  
ISO     SPECTRUM  15.8600  0.0142162    0.00000      MJy/sr  
ISO     SPECTRUM  15.9600  0.0137164    0.00000      MJy/sr  
ISO     SPECTRUM  16.0500  0.0110216    0.00000      MJy/sr  
ISO     SPECTRUM  16.1400  0.0115287    0.00000      MJy/sr  
ISO     SPECTRUM  16.2400  0.0122071    0.00000      MJy/sr  
ISO     SPECTRUM  16.3300  0.0125264    0.00000      MJy/sr  
ISO     SPECTRUM  16.4200  0.0139343    0.00000      MJy/sr  
ISO     SPECTRUM  16.5200  0.0143230    0.00000      MJy/sr  
DIRBE   DIRBE3    3.53000  0.00114137   0.000228273  MJy/sr  
DIRBE   DIRBE4    4.90000  0.00181300   0.000362600  MJy/sr  
DIRBE   DIRBE5    12.0000  0.0286400    0.00572800   MJy/sr  
DIRBE   DIRBE6    25.0000  0.0297500    0.00595000   MJy/sr  
AROME   AROME     3.30000  0.00635506   0.00288866   MJy/sr  
WMAP    WMAP4     4918.03  0.000140426  8.04632e-06  MJy/sr  
WMAP    WMAP5     3191.49  0.000442967  1.61845e-05  MJy/sr  
#WMAP    WMAP1     13043.5  0.000254173  2.62925e-05  MJy/sr  
#WMAP    WMAP2     9090.91  0.000171453  1.56830e-05  MJy/sr  
#WMAP    WMAP3     7317.07  0.000136109  9.82698e-06  MJy/sr  
