# atom  abund  abund_unc  total_abund  total_abund_unc
C   104.80  30.07   288.40  26.60
O   210.77  58.78   575.44  66.40
Mg  38.39   1.79    41.69   1.92
Si  37.99   1.79    40.74   1.88
Fe  34.34   2.37    34.67   2.40
