# atom abund abund_unc total_abund total_abund_unc
C 13.614666150678644 10.771058333008831 33.11311214825908 8.29635366091529
O 122.55026027116382 40.66954597458046 138.03842646028866 28.630337437882083
Mg 6.608538529336025 1.2257224620614586 7.585775750291836 1.1763796769926156
Si 6.365879690220931 8.05775270659958 9.120108393559097 2.4219484050656583
Fe 7.657758311481822 1.5372377262655823 7.762471166286912 1.5370039792623666
