#  lambda (microns),     nu*Inu,      uncertainty
#  AROME
      14.8100   2.8273654e-09   3.3574362e-10
      14.9100   2.9192263e-09   3.4665191e-10
      15.0000   2.8676199e-09   3.4052376e-10
      15.1000   2.4679742e-09   2.9306668e-10
      15.1900   2.7636580e-09   3.2817850e-10
      15.2900   2.6995240e-09   3.2056273e-10
      15.3900   2.8615697e-09   3.3980531e-10
      15.4800   3.0455389e-09   3.6165126e-10
      15.5800   3.0630955e-09   3.6373607e-10
      15.6700   3.0643629e-09   3.6388657e-10
      15.7700   2.8912206e-09   3.4332629e-10
      15.8600   2.5906040e-09   3.0762871e-10
      15.9600   2.4838685e-09   2.9495409e-10
      16.0500   1.9846841e-09   2.3567701e-10
      16.1400   2.0644194e-09   2.4514541e-10
      16.2400   2.1724413e-09   2.5797278e-10
      16.3300   2.2169722e-09   2.6326074e-10
      16.4200   2.4526290e-09   2.9124448e-10
      16.5200   2.5057884e-09   2.9755704e-10
#  DIRBE
      3.50000   8.3683087e-10   9.9460547e-11
      4.90000   9.5049878e-10   1.1327558e-10
      12.0000   6.1619105e-09   7.3171375e-10
      25.0000   3.0729528e-09   3.6507055e-10
      60.0000   4.7594299e-09   1.0671431e-10
      100.000   1.6004962e-08   1.9002394e-09
      140.000   2.1655763e-08   1.8773503e-09
      240.000   9.9214779e-09   8.8994712e-10
#  FIRAS
      1200.00   3.1407581e-11   7.8242539e-12
      1102.60   5.0026539e-11   1.7111666e-11
      1050.10   4.6519111e-11   3.8628447e-11
      1002.37   3.7569874e-11   2.5192210e-11
      958.786   7.0830888e-11   2.3160252e-11
      918.836   1.1826980e-10   4.6924502e-11
      882.083   1.1540880e-10   5.0697213e-11
      848.157   9.6737362e-11   1.7004950e-11
      816.744   1.0925026e-10   1.2910481e-11
      787.574   1.9540620e-10   3.0130783e-11
      760.416   2.4732856e-10   1.7790677e-11
      735.069   2.3307203e-10   5.4988614e-12
      711.357   2.6210700e-10   3.8254940e-11
      689.127   3.3127350e-10   4.1874004e-11
      668.245   3.5977451e-10   2.0504181e-11
      648.590   4.0006717e-10   6.5152956e-11
      630.059   4.4044153e-10   6.8368026e-11
      612.558   5.0913587e-10   7.9521986e-11
      596.002   5.3788827e-10   5.2917314e-11
      580.318   5.5369974e-10   1.1832872e-10
      565.438   6.7397402e-10   1.3676703e-10
      551.302   7.2822230e-10   6.2451582e-11
      537.856   8.3490323e-10   1.2838702e-10
      525.049   8.8964823e-10   1.2642092e-10
      512.839   9.6500503e-10   1.2236584e-10
      501.184   1.0525639e-09   1.0915523e-10
      490.046   1.1648933e-09   1.2771681e-10
      479.393   1.3924859e-09   3.9346384e-10
      469.193   1.4494335e-09   5.7985371e-10
      459.418   1.5651780e-09   2.0806038e-10
      450.042   1.5651196e-09   2.4489185e-10
      441.041   1.7365327e-09   8.0895209e-12
      432.394   1.5928840e-09   3.5916524e-11
      424.078   1.7336149e-09   5.4317288e-11
      416.077   2.1188453e-09   1.3178933e-10
      408.372   2.1096102e-09   6.5916361e-11
      400.947   2.0945612e-09   1.8251173e-11
      393.787   2.3713600e-09   1.9237453e-10
      386.878   2.6009791e-09   1.9066970e-10
      380.208   2.5859639e-09   2.4161810e-11
      373.764   2.8666851e-09   2.6213058e-10
      367.535   2.9866533e-09   1.4695087e-10
      361.509   3.4366484e-09   2.5201886e-10
      355.679   3.3667357e-09   2.7711372e-10
      350.033   3.3805697e-09   2.0091166e-10
      344.564   3.9137883e-09   4.6677935e-10
      339.263   3.8590838e-09   5.3739999e-10
      334.122   3.9537274e-09   1.5314408e-10
      329.135   4.1660433e-09   5.4099954e-10
      324.295   4.4733294e-09   7.1682475e-10
      319.595   5.1664747e-09   4.4411234e-10
      315.030   4.9896269e-09   6.8089233e-10
      310.593   4.8357750e-09   2.7426635e-10
      306.279   5.3723372e-09   4.0917320e-10
      302.083   5.7548073e-09   6.5334879e-10
      298.001   5.9879241e-09   7.5083288e-10
      294.028   5.9281208e-09   6.9126983e-10
      290.159   5.9874528e-09   4.1761118e-10
      286.391   6.3328836e-09   3.9955794e-10
      282.719   6.8420047e-09   5.5343166e-10
      279.140   6.9312740e-09   5.5058364e-10
      275.651   7.5666517e-09   8.4195406e-10
      272.248   7.5724820e-09   1.0608845e-09
      268.928   7.7109130e-09   6.7225439e-10
      265.688   8.0096494e-09   6.5225576e-10
      262.525   8.1060549e-09   1.0012648e-09
      259.436   8.6536681e-09   6.5233591e-10
      256.419   9.1265661e-09   9.8042278e-10
      253.472   9.0129538e-09   8.6444281e-10
      250.592   9.3782143e-09   9.4820873e-10
      247.776   9.7372641e-09   1.0031345e-09
      245.023   1.0216787e-08   1.1518708e-09
      242.330   1.0588675e-08   1.0054290e-09
      239.696   1.1198518e-08   1.2066763e-09
      237.119   1.1482619e-08   1.1944485e-09
      234.597   1.1682618e-08   7.0677923e-10
      232.127   1.1337459e-08   8.4622469e-10
      229.709   1.1420857e-08   1.1161015e-09
      227.341   1.2278542e-08   1.2265490e-09
      225.021   1.2962651e-08   1.2999091e-09
      222.748   1.2523351e-08   1.0091450e-09
      220.521   1.3836611e-08   9.9961640e-10
      218.337   1.3676194e-08   1.3333134e-09
      216.197   1.3990969e-08   1.1588696e-09
      214.098   1.4193242e-08   1.1576825e-09
      212.039   1.4551790e-08   1.3087717e-09
      210.020   1.4636181e-08   1.2781613e-09
      208.038   1.4982972e-08   1.1357586e-09
      206.094   1.5127193e-08   1.1043191e-09
      204.186   1.5326317e-08   1.2502158e-09
      202.313   1.5468080e-08   1.0533333e-09
      200.473   1.5620870e-08   1.4537262e-09
      198.667   1.5809351e-08   1.5091857e-09
      196.894   1.6758291e-08   1.3105141e-09
      195.151   1.7298968e-08   1.2197910e-09
      193.439   1.7511475e-08   1.2056109e-09
      191.757   1.7837381e-08   1.5857921e-09
      190.104   1.8306059e-08   1.2808726e-09
      188.479   1.9203249e-08   1.9704502e-09
      186.882   2.0011293e-08   2.4094262e-09
      185.312   1.9743749e-08   2.4499015e-09
      183.767   1.9757278e-08   2.0408920e-09
      182.249   2.0044676e-08   2.7556800e-09
      180.755   1.9493286e-08   2.3610560e-09
      179.285   1.9201481e-08   1.4595072e-09
      177.839   1.8979396e-08   1.7224773e-09
      176.417   1.9543115e-08   1.6945686e-09
      175.016   2.0094233e-08   1.6219312e-09
      173.638   2.0160787e-08   1.6572195e-09
