#WAVE       SPEC        ERROR
1.19671e+01 2.72913e-02 2.72913e-03
1.20678e+01 2.81174e-02 2.81174e-03
1.21694e+01 2.94279e-02 2.94279e-03
1.22719e+01 3.09500e-02 3.09500e-03
1.23752e+01 3.23564e-02 3.23564e-03
1.24795e+01 3.32618e-02 3.32618e-03
1.25845e+01 3.33277e-02 3.33277e-03
1.26905e+01 3.25996e-02 3.25996e-03
1.27974e+01 3.12748e-02 3.12748e-03
1.29051e+01 2.95653e-02 2.95653e-03
1.30138e+01 2.76676e-02 2.76676e-03
1.31234e+01 2.57356e-02 2.57356e-03
1.32339e+01 2.38868e-02 2.38868e-03
1.33453e+01 2.22094e-02 2.22094e-03
1.34577e+01 2.07752e-02 2.07752e-03
1.35710e+01 1.96546e-02 1.96546e-03
1.36853e+01 1.89080e-02 1.89080e-03
1.38005e+01 1.85937e-02 1.85937e-03
1.39167e+01 1.86685e-02 1.86685e-03
1.40339e+01 1.89459e-02 1.89459e-03
1.41521e+01 1.92279e-02 1.92279e-03
1.42712e+01 1.93218e-02 1.93218e-03
1.43914e+01 1.91933e-02 1.91933e-03
1.45126e+01 1.89104e-02 1.89104e-03
1.46348e+01 1.85441e-02 1.85441e-03
1.47580e+01 1.81621e-02 1.81621e-03
1.48823e+01 1.78274e-02 1.78274e-03
1.50076e+01 1.75983e-02 1.75983e-03
1.51340e+01 1.75289e-02 1.75289e-03
1.52614e+01 1.76419e-02 1.76419e-03
1.53899e+01 1.79416e-02 1.79416e-03
1.55195e+01 1.84376e-02 1.84376e-03
1.56502e+01 1.91461e-02 1.91461e-03
1.57820e+01 2.00907e-02 2.00907e-03
1.59148e+01 2.13033e-02 2.13033e-03
1.60488e+01 2.28012e-02 2.28012e-03
1.61840e+01 2.44856e-02 2.44856e-03
1.63203e+01 2.61878e-02 2.61878e-03
1.64577e+01 2.77142e-02 2.77142e-03
1.65963e+01 2.90405e-02 2.90405e-03
1.67360e+01 3.02539e-02 3.02539e-03
1.68769e+01 3.14070e-02 3.14070e-03
1.70190e+01 3.21920e-02 3.21920e-03
1.71624e+01 3.21389e-02 3.21389e-03
1.73069e+01 3.09041e-02 3.09041e-03
1.74526e+01 2.88019e-02 2.88019e-03
1.75996e+01 2.63772e-02 2.63772e-03
1.77477e+01 2.40678e-02 2.40678e-03
1.78972e+01 2.21889e-02 2.21889e-03
1.80479e+01 2.09620e-02 2.09620e-03
1.81999e+01 2.04900e-02 2.04900e-03
1.83531e+01 2.05152e-02 2.05152e-03
1.85077e+01 2.07125e-02 2.07125e-03
1.86635e+01 2.08414e-02 2.08414e-03
1.88206e+01 2.08777e-02 2.08777e-03
1.89791e+01 2.08350e-02 2.08350e-03
1.91389e+01 2.07273e-02 2.07273e-03
1.93001e+01 2.05693e-02 2.05693e-03
1.94626e+01 2.03755e-02 2.03755e-03
1.96265e+01 2.01605e-02 2.01605e-03
1.97918e+01 1.99381e-02 1.99381e-03
1.99584e+01 1.97216e-02 1.97216e-03
2.01265e+01 1.95239e-02 1.95239e-03
2.02959e+01 1.93567e-02 1.93567e-03
2.04668e+01 1.92233e-02 1.92233e-03
2.06392e+01 1.91217e-02 1.91217e-03
2.08130e+01 1.90497e-02 1.90497e-03
2.09882e+01 1.90052e-02 1.90052e-03
2.11649e+01 1.89865e-02 1.89865e-03
2.13432e+01 1.89922e-02 1.89922e-03
2.15229e+01 1.90202e-02 1.90202e-03
2.17041e+01 1.90693e-02 1.90693e-03
2.18869e+01 1.91382e-02 1.91382e-03
2.20712e+01 1.92250e-02 1.92250e-03
2.22570e+01 1.93287e-02 1.93287e-03
2.24444e+01 1.94477e-02 1.94477e-03
2.26334e+01 1.95808e-02 1.95808e-03
2.28240e+01 1.97264e-02 1.97264e-03
2.30162e+01 1.98833e-02 1.98833e-03
2.32100e+01 2.00499e-02 2.00499e-03
2.34054e+01 2.02247e-02 2.02247e-03
2.36025e+01 2.04062e-02 2.04062e-03
2.38012e+01 2.05929e-02 2.05929e-03
2.40017e+01 2.07837e-02 2.07837e-03
2.42038e+01 2.09773e-02 2.09773e-03
2.44076e+01 2.11727e-02 2.11727e-03
2.46131e+01 2.13686e-02 2.13686e-03
2.48203e+01 2.15638e-02 2.15638e-03
2.50293e+01 2.17572e-02 2.17572e-03
2.52401e+01 2.19472e-02 2.19472e-03
2.54526e+01 2.21327e-02 2.21327e-03
2.56669e+01 2.23121e-02 2.23121e-03
2.58831e+01 2.24842e-02 2.24842e-03
2.61010e+01 2.26471e-02 2.26471e-03
2.63208e+01 2.27998e-02 2.27998e-03
2.65424e+01 2.29405e-02 2.29405e-03
2.67659e+01 2.30677e-02 2.30677e-03
2.69913e+01 2.31800e-02 2.31800e-03
2.72186e+01 2.32763e-02 2.32763e-03
2.74478e+01 2.33614e-02 2.33614e-03
2.76789e+01 2.34435e-02 2.34435e-03
2.79120e+01 2.35309e-02 2.35309e-03
2.81470e+01 2.36317e-02 2.36317e-03
2.83840e+01 2.37546e-02 2.37546e-03
2.86230e+01 2.39083e-02 2.39083e-03
2.88640e+01 2.41018e-02 2.41018e-03
2.91071e+01 2.43382e-02 2.43382e-03
2.93522e+01 2.46112e-02 2.46112e-03
2.95993e+01 2.49133e-02 2.49133e-03
2.98486e+01 2.52370e-02 2.52370e-03
3.00999e+01 2.55743e-02 2.55743e-03
3.03533e+01 2.59234e-02 2.59234e-03
3.06089e+01 2.62846e-02 2.62846e-03
3.08667e+01 2.66583e-02 2.66583e-03
3.11266e+01 2.70446e-02 2.70446e-03
3.13887e+01 2.74438e-02 2.74438e-03
3.16530e+01 2.78565e-02 2.78565e-03
3.19195e+01 2.82827e-02 2.82827e-03
3.21883e+01 2.87228e-02 2.87228e-03
3.24593e+01 2.91773e-02 2.91773e-03
3.27326e+01 2.96465e-02 2.96465e-03
3.30083e+01 3.01308e-02 3.01308e-03
3.32862e+01 3.06303e-02 3.06303e-03
3.35665e+01 3.11459e-02 3.11459e-03
3.38491e+01 3.16775e-02 3.16775e-03
3.41341e+01 3.22258e-02 3.22258e-03
3.44216e+01 3.27912e-02 3.27912e-03
3.47114e+01 3.33743e-02 3.33743e-03
3.50037e+01 3.39752e-02 3.39752e-03
3.52984e+01 3.45946e-02 3.45946e-03
3.55957e+01 3.52331e-02 3.52331e-03
3.58954e+01 3.58910e-02 3.58910e-03
3.61977e+01 3.65690e-02 3.65690e-03
3.65024e+01 3.72675e-02 3.72675e-03
3.68098e+01 3.79871e-02 3.79871e-03
3.71198e+01 3.87284e-02 3.87284e-03
3.74323e+01 3.94919e-02 3.94919e-03
3.77475e+01 4.02783e-02 4.02783e-03
3.80654e+01 4.10883e-02 4.10883e-03
3.83859e+01 4.19223e-02 4.19223e-03
3.87091e+01 4.27812e-02 4.27812e-03
3.90351e+01 4.36656e-02 4.36656e-03
3.93638e+01 4.45761e-02 4.45761e-03
3.96952e+01 4.55135e-02 4.55135e-03
4.00295e+01 4.64785e-02 4.64785e-03
4.03665e+01 4.74718e-02 4.74718e-03
4.07064e+01 4.84944e-02 4.84944e-03
4.10492e+01 4.95470e-02 4.95470e-03
4.13948e+01 5.06302e-02 5.06302e-03
4.17434e+01 5.17452e-02 5.17452e-03
4.20949e+01 5.28926e-02 5.28926e-03
4.24493e+01 5.40732e-02 5.40732e-03
4.28068e+01 5.52883e-02 5.52883e-03
4.31672e+01 5.65385e-02 5.65385e-03
4.35307e+01 5.78248e-02 5.78248e-03
4.38973e+01 5.91483e-02 5.91483e-03
4.42669e+01 6.05099e-02 6.05099e-03
4.46396e+01 6.19105e-02 6.19105e-03
4.50155e+01 6.33514e-02 6.33514e-03
4.53946e+01 6.48335e-02 6.48335e-03
4.57768e+01 6.63580e-02 6.63580e-03
4.61623e+01 6.79260e-02 6.79260e-03
4.65510e+01 6.95385e-02 6.95385e-03
4.69430e+01 7.11968e-02 7.11968e-03
4.73382e+01 7.29020e-02 7.29020e-03
4.77368e+01 7.46557e-02 7.46557e-03
4.81388e+01 7.64586e-02 7.64586e-03
4.85441e+01 7.83123e-02 7.83123e-03
4.89529e+01 8.02180e-02 8.02180e-03
4.93651e+01 8.21772e-02 8.21772e-03
4.97808e+01 8.41909e-02 8.41909e-03
5.02000e+01 8.62608e-02 8.62608e-03
5.06227e+01 8.83881e-02 8.83881e-03
5.10489e+01 9.05742e-02 9.05742e-03
5.14788e+01 9.28209e-02 9.28209e-03
5.19122e+01 9.51293e-02 9.51293e-03
5.23494e+01 9.75012e-02 9.75012e-03
5.27902e+01 9.99380e-02 9.99380e-03
5.32347e+01 1.02441e-01 1.02441e-02
5.36829e+01 1.05012e-01 1.05012e-02
5.41350e+01 1.07653e-01 1.07653e-02
5.45908e+01 1.10365e-01 1.10365e-02
5.50505e+01 1.13150e-01 1.13150e-02
5.55140e+01 1.16010e-01 1.16010e-02
5.59815e+01 1.18945e-01 1.18945e-02
5.64529e+01 1.21959e-01 1.21959e-02
5.69282e+01 1.25053e-01 1.25053e-02
5.74076e+01 1.28228e-01 1.28228e-02
5.78910e+01 1.31486e-01 1.31486e-02
5.83784e+01 1.34829e-01 1.34829e-02
5.88700e+01 1.38259e-01 1.38259e-02
5.93657e+01 1.41777e-01 1.41777e-02
5.98656e+01 1.45387e-01 1.45387e-02
6.03697e+01 1.49088e-01 1.49088e-02
