# wave A(l)/A(V) unc
1.16662e-01 4.12124e+00 2.06062e-01
1.16797e-01 4.11180e+00 2.05590e-01
1.16933e-01 4.10239e+00 2.05120e-01
1.17069e-01 4.09305e+00 2.04653e-01
1.17205e-01 4.08375e+00 2.04187e-01
1.17341e-01 4.07451e+00 2.03726e-01
1.17477e-01 4.06527e+00 2.03264e-01
1.17614e-01 4.05610e+00 2.02805e-01
1.17750e-01 4.04707e+00 2.02353e-01
1.17887e-01 4.03813e+00 2.01907e-01
1.18024e-01 4.02923e+00 2.01461e-01
1.18161e-01 4.02039e+00 2.01020e-01
1.18298e-01 4.01156e+00 2.00578e-01
1.18436e-01 4.00279e+00 2.00139e-01
1.18573e-01 3.99405e+00 1.99703e-01
1.18711e-01 3.98535e+00 1.99267e-01
1.18849e-01 3.97668e+00 1.98834e-01
1.18987e-01 3.96808e+00 1.98404e-01
1.19125e-01 3.95958e+00 1.97979e-01
1.19263e-01 3.95121e+00 1.97560e-01
1.19402e-01 3.94291e+00 1.97145e-01
1.19541e-01 3.93461e+00 1.96730e-01
1.19680e-01 3.92637e+00 1.96319e-01
1.19819e-01 3.91817e+00 1.95909e-01
1.19958e-01 3.91001e+00 1.95500e-01
1.20097e-01 3.90187e+00 1.95094e-01
1.20237e-01 3.89377e+00 1.94689e-01
1.20376e-01 3.88571e+00 1.94285e-01
1.20516e-01 3.87771e+00 1.93885e-01
1.20656e-01 3.86991e+00 1.93495e-01
1.20796e-01 3.86214e+00 1.93107e-01
1.20936e-01 3.85441e+00 1.92721e-01
1.21077e-01 3.84671e+00 1.92336e-01
1.21218e-01 3.83905e+00 1.91953e-01
1.21358e-01 3.83145e+00 1.91573e-01
1.21499e-01 3.82385e+00 1.91193e-01
1.21640e-01 3.81629e+00 1.90815e-01
1.21782e-01 3.80876e+00 1.90438e-01
1.21923e-01 3.80126e+00 1.90063e-01
1.22065e-01 3.79400e+00 1.89700e-01
1.22207e-01 3.78680e+00 1.89340e-01
1.22349e-01 3.77967e+00 1.88984e-01
1.22491e-01 3.77255e+00 1.88627e-01
1.22633e-01 3.76548e+00 1.88274e-01
1.22775e-01 3.75842e+00 1.87921e-01
1.22918e-01 3.75143e+00 1.87571e-01
1.23061e-01 3.74443e+00 1.87222e-01
1.23204e-01 3.73750e+00 1.86875e-01
1.23347e-01 3.73057e+00 1.86529e-01
1.23490e-01 3.72375e+00 1.86187e-01
1.23633e-01 3.71715e+00 1.85858e-01
1.23777e-01 3.71059e+00 1.85530e-01
1.23921e-01 3.70403e+00 1.85202e-01
1.24065e-01 3.69754e+00 1.84877e-01
1.24209e-01 3.69108e+00 1.84554e-01
1.24353e-01 3.68465e+00 1.84233e-01
1.24498e-01 3.67826e+00 1.83913e-01
1.24642e-01 3.67187e+00 1.83593e-01
1.24787e-01 3.66554e+00 1.83277e-01
1.24932e-01 3.65925e+00 1.82962e-01
1.25077e-01 3.65332e+00 1.82666e-01
1.25222e-01 3.64770e+00 1.82385e-01
1.25368e-01 3.64208e+00 1.82104e-01
1.25513e-01 3.63646e+00 1.81823e-01
1.25659e-01 3.63083e+00 1.81542e-01
1.25805e-01 3.62518e+00 1.81259e-01
1.25951e-01 3.61952e+00 1.80976e-01
1.26098e-01 3.61390e+00 1.80695e-01
1.26244e-01 3.60824e+00 1.80412e-01
1.26391e-01 3.60255e+00 1.80128e-01
1.26537e-01 3.59689e+00 1.79845e-01
1.26684e-01 3.59141e+00 1.79570e-01
1.26832e-01 3.58598e+00 1.79299e-01
1.26979e-01 3.58056e+00 1.79028e-01
1.27126e-01 3.57514e+00 1.78757e-01
1.27274e-01 3.56972e+00 1.78486e-01
1.27422e-01 3.56426e+00 1.78213e-01
1.27570e-01 3.55884e+00 1.77942e-01
1.27718e-01 3.55338e+00 1.77669e-01
1.27866e-01 3.54793e+00 1.77396e-01
1.28015e-01 3.54247e+00 1.77124e-01
1.28164e-01 3.53698e+00 1.76849e-01
1.28312e-01 3.53176e+00 1.76588e-01
1.28461e-01 3.52661e+00 1.76330e-01
1.28611e-01 3.52145e+00 1.76073e-01
1.28760e-01 3.51630e+00 1.75815e-01
1.28910e-01 3.51111e+00 1.75556e-01
1.29059e-01 3.50596e+00 1.75298e-01
1.29209e-01 3.50077e+00 1.75038e-01
1.29359e-01 3.49558e+00 1.74779e-01
1.29510e-01 3.49039e+00 1.74520e-01
1.29660e-01 3.48520e+00 1.74260e-01
1.29811e-01 3.47998e+00 1.73999e-01
1.29961e-01 3.47496e+00 1.73748e-01
1.30112e-01 3.47004e+00 1.73502e-01
1.30263e-01 3.46509e+00 1.73254e-01
1.30415e-01 3.46017e+00 1.73008e-01
1.30566e-01 3.45522e+00 1.72761e-01
1.30718e-01 3.45026e+00 1.72513e-01
1.30870e-01 3.44531e+00 1.72265e-01
1.31022e-01 3.44035e+00 1.72018e-01
1.31174e-01 3.43540e+00 1.71770e-01
1.31326e-01 3.43045e+00 1.71522e-01
1.31479e-01 3.42546e+00 1.71273e-01
1.31632e-01 3.42057e+00 1.71029e-01
1.31784e-01 3.41589e+00 1.70794e-01
1.31937e-01 3.41117e+00 1.70558e-01
1.32091e-01 3.40645e+00 1.70322e-01
1.32244e-01 3.40173e+00 1.70087e-01
1.32398e-01 3.39701e+00 1.69851e-01
1.32552e-01 3.39229e+00 1.69615e-01
1.32706e-01 3.38757e+00 1.69379e-01
1.32860e-01 3.38282e+00 1.69141e-01
1.33014e-01 3.37807e+00 1.68903e-01
1.33168e-01 3.37331e+00 1.68666e-01
1.33323e-01 3.36856e+00 1.68428e-01
1.33478e-01 3.36411e+00 1.68206e-01
1.33633e-01 3.35963e+00 1.67981e-01
1.33788e-01 3.35517e+00 1.67759e-01
1.33944e-01 3.35072e+00 1.67536e-01
1.34099e-01 3.34624e+00 1.67312e-01
1.34255e-01 3.34177e+00 1.67088e-01
1.34411e-01 3.33729e+00 1.66864e-01
1.34567e-01 3.33280e+00 1.66640e-01
1.34723e-01 3.32831e+00 1.66415e-01
1.34880e-01 3.32381e+00 1.66191e-01
1.35036e-01 3.31931e+00 1.65966e-01
1.35193e-01 3.31491e+00 1.65746e-01
1.35350e-01 3.31071e+00 1.65535e-01
1.35508e-01 3.30649e+00 1.65325e-01
1.35665e-01 3.30227e+00 1.65114e-01
1.35823e-01 3.29805e+00 1.64902e-01
1.35980e-01 3.29382e+00 1.64691e-01
1.36138e-01 3.28959e+00 1.64479e-01
1.36296e-01 3.28534e+00 1.64267e-01
1.36455e-01 3.28110e+00 1.64055e-01
1.36613e-01 3.27685e+00 1.63843e-01
1.36772e-01 3.27260e+00 1.63630e-01
1.36931e-01 3.26834e+00 1.63417e-01
1.37090e-01 3.26425e+00 1.63212e-01
1.37249e-01 3.26025e+00 1.63012e-01
1.37408e-01 3.25624e+00 1.62812e-01
1.37568e-01 3.25223e+00 1.62611e-01
1.37728e-01 3.24821e+00 1.62411e-01
1.37888e-01 3.24419e+00 1.62210e-01
1.38048e-01 3.24016e+00 1.62008e-01
1.38208e-01 3.23613e+00 1.61807e-01
1.38369e-01 3.23210e+00 1.61605e-01
1.38530e-01 3.22806e+00 1.61403e-01
1.38690e-01 3.22401e+00 1.61201e-01
1.38852e-01 3.21996e+00 1.60998e-01
1.39013e-01 3.21613e+00 1.60807e-01
1.39174e-01 3.21236e+00 1.60618e-01
1.39336e-01 3.20859e+00 1.60429e-01
1.39498e-01 3.20481e+00 1.60241e-01
1.39660e-01 3.20103e+00 1.60052e-01
1.39822e-01 3.19724e+00 1.59862e-01
1.39984e-01 3.19345e+00 1.59672e-01
1.40147e-01 3.18965e+00 1.59483e-01
1.40310e-01 3.18586e+00 1.59293e-01
1.40473e-01 3.18205e+00 1.59102e-01
1.40636e-01 3.17824e+00 1.58912e-01
1.40799e-01 3.17443e+00 1.58721e-01
1.40963e-01 3.17083e+00 1.58542e-01
1.41127e-01 3.16732e+00 1.58366e-01
1.41290e-01 3.16381e+00 1.58190e-01
1.41455e-01 3.16029e+00 1.58014e-01
1.41619e-01 3.15676e+00 1.57838e-01
1.41783e-01 3.15324e+00 1.57662e-01
1.41948e-01 3.14970e+00 1.57485e-01
1.42113e-01 3.14617e+00 1.57308e-01
1.42278e-01 3.14263e+00 1.57131e-01
1.42443e-01 3.13908e+00 1.56954e-01
1.42609e-01 3.13554e+00 1.56777e-01
1.42774e-01 3.13199e+00 1.56599e-01
1.42940e-01 3.12856e+00 1.56428e-01
1.43106e-01 3.12528e+00 1.56264e-01
1.43272e-01 3.12198e+00 1.56099e-01
1.43439e-01 3.11869e+00 1.55935e-01
1.43605e-01 3.11539e+00 1.55770e-01
1.43772e-01 3.11209e+00 1.55605e-01
1.43939e-01 3.10878e+00 1.55439e-01
1.44106e-01 3.10547e+00 1.55274e-01
1.44274e-01 3.10216e+00 1.55108e-01
1.44441e-01 3.09884e+00 1.54942e-01
1.44609e-01 3.09552e+00 1.54776e-01
1.44777e-01 3.09219e+00 1.54610e-01
1.44945e-01 3.08890e+00 1.54445e-01
1.45114e-01 3.08589e+00 1.54294e-01
1.45282e-01 3.08287e+00 1.54144e-01
1.45451e-01 3.07986e+00 1.53993e-01
1.45620e-01 3.07683e+00 1.53842e-01
1.45789e-01 3.07381e+00 1.53690e-01
1.45958e-01 3.07078e+00 1.53539e-01
1.46128e-01 3.06775e+00 1.53387e-01
1.46298e-01 3.06471e+00 1.53236e-01
1.46468e-01 3.06167e+00 1.53084e-01
1.46638e-01 3.05863e+00 1.52932e-01
1.46808e-01 3.05558e+00 1.52779e-01
1.46978e-01 3.05253e+00 1.52627e-01
1.47149e-01 3.04962e+00 1.52481e-01
1.47320e-01 3.04682e+00 1.52341e-01
1.47491e-01 3.04402e+00 1.52201e-01
1.47663e-01 3.04121e+00 1.52060e-01
1.47834e-01 3.03840e+00 1.51920e-01
1.48006e-01 3.03558e+00 1.51779e-01
1.48178e-01 3.03277e+00 1.51638e-01
1.48350e-01 3.02995e+00 1.51497e-01
1.48522e-01 3.02713e+00 1.51356e-01
1.48695e-01 3.02430e+00 1.51215e-01
1.48867e-01 3.02147e+00 1.51074e-01
1.49040e-01 3.01864e+00 1.50932e-01
1.49213e-01 3.01580e+00 1.50790e-01
1.49387e-01 3.01320e+00 1.50660e-01
1.49560e-01 3.01066e+00 1.50533e-01
1.49734e-01 3.00812e+00 1.50406e-01
1.49908e-01 3.00557e+00 1.50279e-01
1.50082e-01 3.00302e+00 1.50151e-01
1.50256e-01 3.00047e+00 1.50024e-01
1.50431e-01 2.99792e+00 1.49896e-01
1.50606e-01 2.99536e+00 1.49768e-01
1.50780e-01 2.99281e+00 1.49640e-01
1.50956e-01 2.99024e+00 1.49512e-01
1.51131e-01 2.98768e+00 1.49384e-01
1.51306e-01 2.98511e+00 1.49256e-01
1.51482e-01 2.98254e+00 1.49127e-01
1.51658e-01 2.98023e+00 1.49011e-01
1.51834e-01 2.97797e+00 1.48899e-01
1.52011e-01 2.97571e+00 1.48786e-01
1.52187e-01 2.97345e+00 1.48673e-01
1.52364e-01 2.97119e+00 1.48559e-01
1.52541e-01 2.96892e+00 1.48446e-01
1.52718e-01 2.96666e+00 1.48333e-01
1.52896e-01 2.96438e+00 1.48219e-01
1.53073e-01 2.96211e+00 1.48106e-01
1.53251e-01 2.95983e+00 1.47992e-01
1.53429e-01 2.95755e+00 1.47878e-01
1.53607e-01 2.95527e+00 1.47764e-01
1.53786e-01 2.95299e+00 1.47649e-01
1.53964e-01 2.95089e+00 1.47544e-01
1.54143e-01 2.94888e+00 1.47444e-01
1.54322e-01 2.94687e+00 1.47344e-01
1.54501e-01 2.94486e+00 1.47243e-01
1.54681e-01 2.94285e+00 1.47142e-01
1.54860e-01 2.94083e+00 1.47042e-01
1.55040e-01 2.93882e+00 1.46941e-01
1.55220e-01 2.93679e+00 1.46840e-01
1.55401e-01 2.93477e+00 1.46739e-01
1.55581e-01 2.93275e+00 1.46637e-01
1.55762e-01 2.93072e+00 1.46536e-01
1.55943e-01 2.92869e+00 1.46434e-01
1.56124e-01 2.92666e+00 1.46333e-01
1.56305e-01 2.92471e+00 1.46236e-01
1.56487e-01 2.92298e+00 1.46149e-01
1.56669e-01 2.92124e+00 1.46062e-01
1.56851e-01 2.91950e+00 1.45975e-01
1.57033e-01 2.91775e+00 1.45888e-01
1.57215e-01 2.91601e+00 1.45800e-01
1.57398e-01 2.91426e+00 1.45713e-01
1.57581e-01 2.91251e+00 1.45626e-01
1.57764e-01 2.91076e+00 1.45538e-01
1.57947e-01 2.90901e+00 1.45450e-01
1.58130e-01 2.90725e+00 1.45363e-01
1.58314e-01 2.90549e+00 1.45275e-01
1.58498e-01 2.90373e+00 1.45187e-01
1.58682e-01 2.90197e+00 1.45099e-01
1.58866e-01 2.90044e+00 1.45022e-01
1.59051e-01 2.89899e+00 1.44949e-01
1.59236e-01 2.89753e+00 1.44877e-01
1.59420e-01 2.89608e+00 1.44804e-01
1.59606e-01 2.89463e+00 1.44731e-01
1.59791e-01 2.89317e+00 1.44658e-01
1.59977e-01 2.89171e+00 1.44585e-01
1.60162e-01 2.89024e+00 1.44512e-01
1.60348e-01 2.88878e+00 1.44439e-01
