Witt et al. 1982 (NGC 7023)
wave, albedo, delta,   g, delta
5515.0 0.60 0.05 0.63 0.1
4733.0 0.56 0.05 0.63 0.1
4093.0 0.58 0.05 0.60 0.1
3470.0 0.55 0.05 0.56 0.1
2500.0 0.47 0.05 0.50 0.1
2000.0 0.42 0.05 0.40 0.1
1700.0 0.52 0.05 0.35 0.1
1400.0 0.60 0.05 0.25 0.1
