Lewis et al. 2009 (SPINR: Sco OB2)
wave, albedo, delta,   g, delta
1261.0 0.77   0.13   0.60  0.35
1106.0 0.33   0.07   0.88  0.10
 973.0 0.28   0.07   0.49  0.48
